epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1401.18,1.358,1.88741,1.79933,0.51582,0.37966,0.36381,0.17732,1.39668,2.33814,1.70053,0.00599866,0.00199955,0.00599866,0.00199955,0.00599866,0.00199955,0.00599866,0.00199955
2,2605.09,1.28999,1.75298,1.74264,0.57085,0.38734,0.40637,0.22614,1.33905,1.83654,1.67104,0.0119983,0.00399945,0.0119983,0.00399945,0.0119983,0.00399945,0.0119983,0.00399945
3,3757.44,1.30107,1.77766,1.76746,0.5818,0.38882,0.40757,0.23486,1.26771,1.85586,1.57171,0.0179967,0.0059989,0.0179967,0.0059989,0.0179967,0.0059989,0.0179967,0.0059989
4,4882.18,1.30942,1.81225,1.78704,0.56872,0.37679,0.39649,0.22756,1.28983,1.88619,1.57214,0.0239928,0.0079976,0.0239928,0.0079976,0.0239928,0.0079976,0.0239928,0.0079976
5,5983.15,1.32077,1.81863,1.7977,0.57253,0.39205,0.39661,0.22871,1.2955,1.82655,1.63301,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
6,7079.92,1.30838,1.80121,1.79434,0.57788,0.40115,0.41784,0.25454,1.1574,1.73721,1.49505,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,8173.46,1.26663,1.73608,1.75599,0.60541,0.41031,0.43591,0.26706,1.16421,1.63724,1.47587,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,9265.46,1.2261,1.68491,1.71978,0.6163,0.40992,0.43873,0.2654,1.19725,1.64277,1.52258,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,10359.9,1.19483,1.64431,1.69713,0.60002,0.42588,0.44828,0.28282,1.10457,1.58685,1.43194,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,11452.5,1.18339,1.61775,1.68668,0.62197,0.42805,0.45451,0.28406,1.08409,1.53122,1.41216,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,12544.9,1.17116,1.6004,1.67116,0.62552,0.4318,0.46322,0.29209,1.08793,1.499,1.42981,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,13637.1,1.1571,1.57474,1.65765,0.63354,0.43199,0.46937,0.29704,1.05497,1.45473,1.38141,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,14729.4,1.14238,1.55256,1.64972,0.6316,0.43702,0.47144,0.30318,1.05123,1.44169,1.38498,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,15820.1,1.13344,1.53982,1.63723,0.63245,0.44165,0.4761,0.3092,1.02248,1.42934,1.35482,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,16912.1,1.12071,1.53034,1.62783,0.63334,0.44412,0.4814,0.31202,1.02111,1.42521,1.35052,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,18003.8,1.11512,1.51608,1.62415,0.6334,0.44559,0.48503,0.3159,1.00446,1.41296,1.33399,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,19095.9,1.11439,1.52013,1.62224,0.63481,0.45003,0.48774,0.31693,0.99802,1.39394,1.32664,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,20187.2,1.10567,1.49568,1.6146,0.6289,0.45299,0.48857,0.32041,0.9912,1.38854,1.32138,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
